timestamp,tile_clicked,damage_received,created_word,damage_dealt,current_level,program_closed
20260420_163304,True,,,,8,
20260420_163304,True,,,,8,
20260420_163305,True,,,,8,
20260420_163306,True,,,,8,
20260420_163306,True,,,,8,
20260420_163309,True,,,,8,
20260420_163309,True,,,,8,
20260420_163310,True,,,,8,
20260420_163310,True,,,,8,
20260420_163311,,,monk,19,8,
20260420_163312,True,,,,8,
20260420_163312,True,,,,8,
20260420_163313,True,,,,8,
20260420_163313,True,,,,8,
20260420_163314,True,,,,8,
20260420_163314,True,,,,8,
20260420_163314,,4,,,8,
20260420_163317,,,vote,24,8,
20260420_163320,,4,,,8,
20260420_163320,True,,,,8,
20260420_163320,True,,,,8,
20260420_163322,True,,,,8,
20260420_163323,True,,,,8,
20260420_163323,True,,,,8,
20260420_163324,True,,,,8,
20260420_163325,True,,,,8,
20260420_163327,,,fum,15,8,
20260420_163328,True,,,,8,
20260420_163328,True,,,,8,
20260420_163329,True,,,,9,
20260420_163329,True,,,,9,
20260420_163330,,,tils,40,9,
20260420_163332,True,,,,9,
20260420_163332,True,,,,9,
20260420_163333,True,,,,9,
20260420_163333,,4,,,9,
20260420_163336,,,puy,34,9,
20260420_163343,True,,,,10,
20260420_163345,True,,,,10,
20260420_163355,True,,,,10,
20260420_163357,True,,,,10,
20260420_163358,True,,,,10,
20260420_163358,True,,,,10,
20260420_163400,,,hots,20,10,
20260420_163402,True,,,,10,
20260420_163402,True,,,,10,
20260420_163402,True,,,,10,
20260420_163404,,,him,15,10,
20260420_163407,,5,,,10,
20260420_163410,True,,,,10,
20260420_163410,True,,,,10,
20260420_163410,True,,,,10,
20260420_163410,True,,,,10,
20260420_163412,,,cant,19,10,
20260420_163414,,5,,,10,
20260420_163418,True,,,,10,
20260420_163418,True,,,,10,
20260420_163418,True,,,,10,
20260420_163419,,,key,9,10,
20260420_163425,True,,,,11,
20260420_163426,True,,,,11,
20260420_163427,True,,,,11,
20260420_163427,True,,,,11,
20260420_163428,True,,,,11,
20260420_163429,True,,,,11,
20260420_163430,True,,,,11,
20260420_163432,True,,,,11,
20260420_163434,,,rux,16,11,
20260420_163437,True,,,,11,
20260420_163437,True,,,,11,
20260420_163438,True,,,,11,
20260420_163439,,,hav,15,11,
20260420_163440,True,,,,11,
20260420_163441,True,,,,11,
20260420_163441,True,,,,11,
20260420_163443,,,ton,15,11,
20260420_163445,,5,,,11,
20260420_163448,True,,,,11,
20260420_163448,True,,,,11,
20260420_163448,True,,,,11,
20260420_163450,,,hay,17,11,
